Harper Lee;To Kill a Mockingbird;'One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable coming-of-age tale in a South poisoned by virulent prejudice, it views a world of great beauty and savage iniquities through the eyes of a young girl, as her father  a crusading local lawyer  risks everything to defend a black man unjustly accused of a terrible crime.';'Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School'
Harper Lee;1984;'A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching. Thought Police, Big Brother, Orwellian - these words have entered our vocabulary because of George Orwell's classic dystopian novel 1984. The story of one man's Nightmare Odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality. With a foreword by Thomas Pynchon. This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasion  Alternate cover edition can be found .';'Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels'
Harper Lee;The Handmaid's Tale;'Now a Hulu series starring Elizabeth Moss. The Handmaid's Tale is an instant classic and eerily prescient cultural phenomenon, from "the patron saint of feminist dystopian fiction" ( New York Times ) The Handmaids Tale is a novel of such power that the reader will be unable to forget its images and its forecast. Set in the near future, it describes life in what was once the United States and is now called the Republic of Gilead, a monotheocracy that has reacted to social unrest and a sharply declining birthrate by reverting to, and going beyond, the repressive intolerance of the original Puritans. The regime takes the Book of Genesis absolutely at its word, with bizarre consequences for the women and men in its population. The story is told through the eyes of Offred, one of the unfortunate Handmaids under the new social order. In condensed but eloquent prose, by turns cool-eyed, tender, despairing, passionate, and wry, she reveals to us the dark corners behind the establishments calm facade, as certain tendencies now in existence are carried to their logical conclusions. The Handmaids Tale is funny, unexpected, horrifying, and altogether convincing. It is at once scathing satire, dire warning, and a tour de force. It is Margaret Atwood at her best.';'Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult'
Harper Lee;The Catcher in the Rye;'It's Christmas time and Holden Caulfield has just been expelled from yet another school...  Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encountersshooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.  is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.  (19192010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on 's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.';'Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels'
Harper Lee;Fahrenheit 451;'Sixty years after its original publication, Ray Bradburys internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.  Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television family. But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didnt live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.';'Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook'
Harper Lee;Animal Farm;'Librarian's note: There is an Alternate Cover Edition for this edition of this book here.  A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwells masterpiece have a meaning and message still ferociously fresh.';'Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels'
Harper Lee;The Bluest Eye;'The Bluest Eye is Toni Morrison's first novel, a book heralded for its richness of language and boldness of vision. Set in the author's girlhood hometown of Lorain, Ohio, it tells the story of black, eleven-year-old Pecola Breedlove. Pecola prays for her eyes to turn blue so that she will be as beautiful and beloved as all the blond, blue-eyed children in America. In the autumn of 1941, the year the marigolds in the Breedloves' garden do not bloom. Pecola's life does changein painful, devastating ways.  With its vivid evocation of the fear and loneliness at the heart of a child's yearning, and the tragedy of its fulfillment. remains one of Toni Morrison's most powerful, unforgettable novels- and a significant work of American fiction.';'Fiction, Classics, Historical Fiction, Banned Books, Race, African American, Literary Fiction'
Harper Lee;Of Mice and Men;'I got you to look after me, and you got me to look after you, and that's why.  They are an unlikely pair: George is "small and quick and dark of face"; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a "family," clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.  While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composing , creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.  A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.'
Harper Lee;Lord of the Flies;'At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about the end of innocence, the darkness of mans heart.'
Harper Lee;Brave New World;'Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling orderall at the cost of our freedom, full humanity, and perhaps also our souls. A genius [who] who spent his life decrying the onward march of the Machine (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of historys keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, d likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites.  "Aldous Huxley is the greatest 20th century writer in English." Chicago Tribune';'Literature, Science Fiction, Novels, School, Audiobook, Banned Books, Science Fiction Fantasy'
Harper Lee;The Color Purple;'Read the original inspiration for the new, boldly reimagined film from producers Oprah Winfrey and Steven Spielberg, starring Taraji P. Henson, Danielle Brooks, and Fantasia Barrino.  Winner of the Pulitzer Prize and the National Book Award  A powerful cultural touchstone of modern American literature, The Color Purple depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.  Reading';'Fiction, Historical Fiction, Feminism, LGBT, Historical, Queer, Banned Books'
Harper Lee;The Perks of Being a Wallflower;'standing on the fringes of life... offers a unique perspective. But there comes a time to see what it looks like from the dance floor.  This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWER  This is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.  Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.  (back cover)';'Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction'
Harper Lee;The Giver;'At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.';'Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School'
Harper Lee;Beloved;'Staring unflinchingly into the abyss of slavery, this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby.  Sethe, its protagonist, was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. And Sethe's new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved. Filled with bitter poetry and suspense as taut as a rope, is a towering achievement by Nobel Prize laureate Toni Morrison.';'Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School'
Harper Lee;The Hate U Give;'Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed.  Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalils name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr.  But what Starr doesor does notsay could upend her community. It could also endanger her life.  --front flap';'Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction, Race, Social Justice'
Harper Lee;The Absolutely True Diary of a Part-Time Indian;'Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot.  Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live.  With a foreward by Markus Zusak & interviews with Sherman Alexie and Ellen Forney';'Young Adult, Fiction, Contemporary, Realistic Fiction, Humor, Banned Books, Native American'
Harper Lee;The Kite Runner;'The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father's servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sonstheir love, their sacrifices, their lies.  A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.  The 10th anniversary edition of the bestseller and international classic loved by millions of readers.'
Harper Lee;I Know Why the Caged Bird Sings;'Maya Angelous debut memoir is a modern American classic beloved worldwide. Her life story is told in the documentary film And Still I Rise, as seen on PBSs American Masters.  Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelous debut memoir is a modern American classic beloved worldwide.  Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local powhitetrash. At eight years old and back at her mothers side in St. Louis, Maya is attacked by a man many times her ageand has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (I met and fell in love with William Shakespeare) will allow her to be free instead of imprisoned.  Poetic and powerful, will touch hearts and change minds for as long as people read.';'Nonfiction, Classics, Memoir, Biography, Autobiography, Poetry, Feminism'
Harper Lee;Slaughterhouse-Five;'Slaughterhouse-Five, an American classic, is one of the worlds great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barbers son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming unstuck in time.  An instant bestseller, made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonneguts writingthe political edginess, the genre-bending inventiveness, the frank violence, the transgressive witthat have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it.  Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own eras uncertainties.';'Fiction, Science Fiction, Classics, Historical Fiction, War, Literature, Novels'
Harper Lee;The Great Gatsby;'Alternate covers of this ISBN can be found here and here.  James L.W. West III to include the authors final revisions and features a note on the composition and text, a personal foreword by Fitzgeralds granddaughter, Eleanor Lanahanand a new introduction by two-time National Book Award winner Jesmyn Ward.  The Great Gatsby, F. Scott Fitzgeralds third book, stands as the supreme achievement of his career. First published in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted gin was the national drink and sex the national obsession, it is an exquisitely crafted tale of America in the 1920s.';'Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School'
